FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Type of Transaction,Type of Property,Total Consideration
S92000003,Scotland,Country,2021-02,Count,Transactions,140,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2021-03,Count,Transactions,1800,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2021-03,Count,Transactions,4450,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-03,Count,Transactions,2990,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2021-03,Count,Transactions,130,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2021-03,Count,Transactions,12740,All,Residential,Not Applicable
S92000003,Scotland,Country,2021-03,Count,Transactions,12730,Conveyance,Residential,All
S92000003,Scotland,Country,2019-11,Count,Transactions,40,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2019-11,Count,Transactions,250,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2019-11,Count,Transactions,160,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2019-11,Count,Transactions,9460,Conveyance,Residential,All
S92000003,Scotland,Country,2019-10,Count,Transactions,2280,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2019-10,Count,Transactions,420,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2019-11,Count,Transactions,490,Lease,All,Not Applicable
S92000003,Scotland,Country,2019-11,Count,Transactions,2160,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2019-11,Count,Transactions,1320,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2019-11,Count,Transactions,4360,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2019-11,Count,Transactions,80,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2019-11,Count,Transactions,800,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2019-11,Count,Transactions,530,Conveyance,Non-residential,All
S92000003,Scotland,Country,2019-11,Count,Transactions,1060,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2019-10,Count,Transactions,10060,Conveyance,Residential,All
S92000003,Scotland,Country,2019-10,Count,Transactions,1090,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2019-10,Count,Transactions,280,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2019-10,Count,Transactions,4510,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2019-10,Count,Transactions,11420,All,All,Not Applicable
S92000003,Scotland,Country,2019-10,Count,Transactions,10070,All,Residential,Not Applicable
S92000003,Scotland,Country,2019-10,Count,Transactions,990,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2019-10,Count,Transactions,3430,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2019-10,Count,Transactions,30,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2019-10,Count,Transactions,140,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2019-10,Count,Transactions,470,Lease,All,Not Applicable
S92000003,Scotland,Country,2019-10,Count,Transactions,540,Conveyance,Non-residential,All
S92000003,Scotland,Country,2019-10,Count,Transactions,50,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2019-12,Count,Transactions,80,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2019-12,Count,Transactions,60,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2019-12,Count,Transactions,4180,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2019-12,Count,Transactions,330,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2019-12,Count,Transactions,300,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2019-12,Count,Transactions,9880,All,Residential,Not Applicable
S92000003,Scotland,Country,2019-12,Count,Transactions,980,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2020-01,Count,Transactions,2920,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2019-12,Count,Transactions,80,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2020-01,Count,Transactions,370,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2020-01,Count,Transactions,2160,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2019-12,Count,Transactions,390,Lease,All,Not Applicable
S92000003,Scotland,Country,2019-12,Count,Transactions,1380,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2019-12,Count,Transactions,1110,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2019-11,Count,Transactions,60,Conveyance,Residential,>750 Thousand Pounds
S92000003,Scotland,Country,2019-11,Count,Transactions,3180,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2019-12,Count,Transactions,2110,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2019-11,Count,Transactions,9460,All,Residential,Not Applicable
S92000003,Scotland,Country,2019-11,Count,Transactions,360,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2019-11,Count,Transactions,300,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2019-11,Count,Transactions,10780,All,All,Not Applicable
S92000003,Scotland,Country,2019-12,Count,Transactions,380,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2019-12,Count,Transactions,660,Conveyance,Non-residential,All
S92000003,Scotland,Country,2019-12,Count,Transactions,9870,Conveyance,Residential,All
S92000003,Scotland,Country,2019-12,Count,Transactions,3520,Conveyance,Residential,>145 to 250 Thousand Pounds
S92000003,Scotland,Country,2019-12,Count,Transactions,220,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2019-12,Count,Transactions,11260,All,All,Not Applicable
S92000003,Scotland,Country,2019-08,Count,Transactions,370,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2019-08,Count,Transactions,11460,All,All,Not Applicable
S92000003,Scotland,Country,2019-08,Count,Transactions,540,Conveyance,Non-residential,All
S92000003,Scotland,Country,2019-08,Count,Transactions,410,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2019-07,Count,Transactions,990,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2019-07,Count,Transactions,4180,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2019-08,Count,Transactions,10150,Conveyance,Residential,All
S92000003,Scotland,Country,2019-08,Count,Transactions,900,Conveyance,Residential,>325 to 750 Thousand Pounds
